Country,series,Year,Value,Source,Exports (current US$),Imports (current US$),Current Account Balance (US$),NE.EXP.GNFS.CD,NE.IMP.GNFS.CD,NY.GDP.MKTP.CD,NE.EXP.GNFS.ZS,NE.IMP.GNFS.ZS,NY.GDP.MKTP.KD.ZG,SH.XPD.CHEX.GD.ZS
ARB,,2006,,IMF,772885025327.001,504049635804.505,,772885025327.001,504049635804.505,1439471041382.97,,,,
ARB,,2007,,IMF,898805757307.684,659466368097.359,,898805757307.684,659466368097.359,1674641032780.09,,,,
ARB,,2008,,IMF,1199862268163.22,850720003915.041,,1199862268163.22,850720003915.041,2118071078804.52,,,,
ARB,,2009,,IMF,844610889994.168,763005679626.75,,844610889994.168,763005679626.75,1829849574764.63,,,,
ARB,,2010,,IMF,1049474983760.71,793195572975.133,,1049474983760.71,793195572975.133,2155345288815.19,,,,
ARB,,2011,,IMF,1357261254598.35,905876750850.388,,1357261254598.35,905876750850.388,2565019402570.0,,,,
ARB,,2012,,IMF,1523930018980.56,1008739390011.86,,1523930018980.56,1008739390011.86,2805384177334.91,,,,
ARB,,2013,,IMF,1507451693755.54,1065674829256.63,,1507451693755.54,1065674829256.63,2874275588328.11,,,,
ARB,,2014,,IMF,1423745023188.11,1121742139975.37,,1423745023188.11,1121742139975.37,2926204954050.54,,,,
ARB,,2015,,IMF,1040266407461.78,1043462245987.34,,1040266407461.78,1043462245987.34,2568631130655.53,40.498863190072,40.623281152909,3.29422348876905,4.98051029619013
ARB,,2016,,IMF,953670218808.442,965620540388.579,,953670218808.442,965620540388.579,2524102874214.64,37.7825416131334,38.255989890627,3.54928351884919,5.25983389240317
ARB,,2017,,IMF,1091141483975.71,1011982316798.81,,1091141483975.71,1011982316798.81,2598475460609.57,41.9916024036548,38.9452327774307,1.60482589556119,5.13032433960265
ARB,,2018,,IMF,1297104466484.15,1060952033250.26,,1297104466484.15,1060952033250.26,2907329557076.05,44.6149788326256,36.4923209571494,2.64284520902167,4.84959687174719
ARB,,2019,,IMF,1250082020508.15,1100324286674.69,,1250082020508.15,1100324286674.69,2949355029586.25,42.3849285002328,37.3072850042423,1.72691613697276,4.95584429172273
ARB,,2020,,IMF,931624929432.865,956788656783.132,,931624929432.865,956788656783.132,2596422612311.05,35.8810975153091,36.8502666802575,-4.75714499576827,5.71176359177651
ARB,,2021,,IMF,1280413945792.7,1100091255352.08,,1280413945792.7,1100091255352.08,3077906530882.01,41.6001568905923,35.7415419966259,4.40457595978887,5.27421179448308
ARB,,2022,,IMF,1792942499342.48,1347629235746.42,,1792942499342.48,1347629235746.42,3738584480489.16,47.9577901395422,36.0465101906724,6.99541381837754,4.43998203289225
ARB,,2023,,IMF,1705011616337.61,1437110229056.43,,1705011616337.61,1437110229056.43,3606002342262.32,47.2825986925989,39.8532805210222,1.5043551993806,
ARE,,2000,,IMF,,,,,,104337372362.151,,,,
ARE,,2001,,IMF,50787202178.3526,42053369639.2104,,50787202178.3526,42053369639.2104,103311640571.818,,,,
ARE,,2002,,IMF,54362695711.3683,47845064669.8434,,54362695711.3683,47845064669.8434,109816201497.617,,,,
ARE,,2003,,IMF,69538461538.4615,57668073519.401,,69538461538.4615,57668073519.401,124346358066.712,,,,
ARE,,2004,,IMF,93968596324.03,78428046289.9932,,93968596324.03,78428046289.9932,147824370319.946,,,,
ARE,,2005,,IMF,122070878148.4,93862491490.8101,,122070878148.4,93862491490.8101,180617467964.602,,,,
ARE,,2006,,IMF,152433690946.222,112930428863.172,,152433690946.222,112930428863.172,222116541865.214,,,,
ARE,,2007,,IMF,186690265486.726,166134240980.259,,186690265486.726,166134240980.259,257916133424.098,,,,
ARE,,2008,,IMF,248808168822.328,219714363512.594,,248808168822.328,219714363512.594,315474615738.598,,,,
ARE,,2009,,IMF,201958883594.282,187139823008.85,,201958883594.282,187139823008.85,253547358747.447,,,,
ARE,,2010,,IMF,238328114363.513,178610755616.065,,238328114363.513,178610755616.065,300189052688.904,,,,
ARE,,2011,,IMF,315867937372.362,215973042886.317,,315867937372.362,215973042886.317,360832739550.715,,,,
ARE,,2012,,IMF,375513955071.477,239748672566.372,,375513955071.477,239748672566.372,384610125391.423,,,,
ARE,,2013,,IMF,392244520081.688,252509462219.197,,392244520081.688,252509462219.197,400218529748.128,,,,
ARE,,2014,,IMF,402728114363.513,275110959836.624,,402728114363.513,275110959836.624,414105366752.893,,,,
ARE,,2015,,IMF,358529611980.939,268999319264.806,,358529611980.939,268999319264.806,370275469571.137,96.8278056324385,72.6484310657599,6.78677287656618,3.46609354
ARE,,2016,,IMF,360626276378.489,270714771953.71,,360626276378.489,270714771953.71,369255326235.534,97.6631210861556,73.3137080820416,5.56149075979933,3.89580107
ARE,,2017,,IMF,382137508509.19,285336963921.035,,382137508509.19,285336963921.035,390516804029.952,97.8543060287568,73.0665008461837,0.735068713941203,4.00854969
ARE,,2018,,IMF,400217835262.083,281535738597.685,,400217835262.083,281535738597.685,427049432157.931,93.7169810154613,65.925796265564,1.31391388153578,4.09854221
ARE,,2019,,IMF,404863172226.004,306004084411.164,,404863172226.004,306004084411.164,417989721742.682,96.8595999294072,73.2085188926111,1.10834813453296,4.40291262
ARE,,2020,,IMF,350277358747.447,297228174703.88,,350277358747.447,297228174703.88,349473015330.157,100.230158948476,85.0503934969287,-4.95705243303316,5.82477045
ARE,,2021,,IMF,425155888359.428,347528931245.745,,425155888359.428,347528931245.745,415178792756.978,102.403084111353,83.7058484943304,4.35475529659919,5.30494308
ARE,,2022,,IMF,521897345132.743,427991831177.672,,521897345132.743,427991831177.672,502731935194.01,103.812252335101,85.1332094135825,7.50969703496445,4.67550945
ARE,,2023,,IMF,558401543008.85,481851599727.706,,558401543008.85,481851599727.706,514130432648.06,108.610871395566,93.7216646067614,3.61870653118159,
ARG,,2000,,IMF,31223690400.0,33070146000.0,-8980617892.62761,31223690400.0,33070146000.0,284203750000.0,,,,
ARG,,2001,,IMF,31112418400.0,27603881800.0,-3780423241.1936,31112418400.0,27603881800.0,268696750000.0,,,,
ARG,,2002,,IMF,27736610298.2555,13065823829.1753,8766610000.0,27736610298.2555,13065823829.1753,97724004251.8602,,,,
ARG,,2003,,IMF,33084505277.8061,18772898618.6064,8139930000.0,33084505277.8061,18772898618.6064,127586973492.177,,,,
ARG,,2004,,IMF,39266996605.7973,27736672323.6712,3211790000.0,39266996605.7973,27736672323.6712,164657930452.787,,,,
ARG,,2005,,IMF,46198180131.0044,34392237786.5721,5273750000.0,46198180131.0044,34392237786.5721,198737095012.282,,,,
ARG,,2006,,IMF,53550250227.3909,40480743015.8524,6498802520.20453,53550250227.3909,40480743015.8524,232557260817.308,,,,
